Brand Name,Generic Name,Has Boxed Warning,Boxed Warning Details
Atorvastatin Calcium,ATORVASTATIN CALCIUM,No,No Boxed Warning
Desmopressin Acetate,DESMOPRESSIN ACETATE,Yes,"WARNING: HYPONATREMIA Desmopressin acetate can cause hyponatremia. Severe hyponatremia can be life-threatening, leading to seizures, coma, respiratory arrest, or death [see Warnings and Precautions ( 5.1 )] . Desmopressin acetate is contraindicated in patients at increased risk of severe hyponatremia, such as patients with excessive fluid intake, illnesses that can cause fluid or electrolyte imbalances, and in those using loop diuretics or systemic or inhaled glucocorticoids [see Contraindications ( 4 ) and Warnings and Precautions ( 5.1 )] . Ensure the serum sodium concentration is normal before starting or resuming desmopressin acetate. Measure serum sodium within 7 days and approximately 1 month after initiating therapy, and periodically during treatment. More frequently monitor serum sodium in patients 65 years of age and older and in patients at increased risk of hyponatremia [see Dosage and Administration ( 2.1 ) and Warnings and Precautions ( 5.1 )] . If hyponatremia occurs, desmopressin acetate may need to be temporarily or permanently discontinued [see Warnings and Precautions ( 5.1 )] . WARNING: HYPONATREMIA See full prescribing information for complete boxed warning. Desmopressin acetate can cause hyponatremia, which may be life-threatening if severe. ( 5.1 ) Desmopressin acetate is contraindicated in patients at increased risk of severe hyponatremia, such as patients with excessive fluid intake, illnesses that can cause fluid or electrolyte imbalances, and in those using loop diuretics or systemic or inhaled glucocorticoids. ( 4 , 5.1 ) Ensure serum sodium concentration is normal before starting or resuming desmopressin acetate. Measure serum sodium within 1 week and approximately 1 month after starting therapy and periodically during treatment. More frequently monitor serum sodium in patients 65 years of age and older and in patients at increased risk of hyponatremia. ( 2.1 , 5.1 ) If hyponatremia occurs, interrupt or discontinue desmopressin acetate injection. ( 5.1 )"
Edarbyclor,AZILSARTAN KAMEDOXOMIL AND CHLORTHALIDONE,Yes,"WARNING: FETAL TOXICITY When pregnancy is detected, discontinue Edarbyclor as soon as possible [see Warnings and Precautions (5.1) and Use in Specific Populations (8.1) ]. Drugs that act directly on the renin-angiotensin system can cause injury and death to the developing fetus [see Warnings and Precautions (5.1) and Use in Specific Populations (8.1) ]. WARNING: FETAL TOXICITY See full prescribing information for complete boxed warning. When pregnancy is detected, discontinue EDARBYCLOR as soon as possible ( 5.1 , 8.1 ) Drugs that act directly on the renin-angiotensin system can cause injury and death to the developing fetus ( 5.1 , 8.1 )"
METOPROLOL TARTRATE,METOPROLOL,No,No Boxed Warning
ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM,No,No Boxed Warning
AMLODIPINE BESYLATE 2.5 mg,AMLODIPINE BESYLATE,No,No Boxed Warning
metoprolol succinate,METOPROLOL SUCCINATE,No,No Boxed Warning
Glimepiride,GLIMEPIRIDE,No,No Boxed Warning
SPIRONOLACTONE,SPIRONOLACTONE,No,No Boxed Warning
Desmopressin Acetate,DESMOPRESSIN ACETATE,Yes,"WARNING: HYPONATREMIA Desmopressin acetate can cause hyponatremia. Severe hyponatremia can be life-threatening, leading to seizures, coma, respiratory arrest, or death [see Warnings and Precautions (5.1) ]. Desmopressin acetate is contraindicated in patients at increased risk of severe hyponatremia, such as patients with excessive fluid intake, illnesses that can cause fluid or electrolyte imbalances, and in those using loop diuretics or systemic or inhaled glucocorticoids [see Contraindications (4) and Warnings and Precautions (5.1) ]. Ensure the serum sodium concentration is normal before starting or resuming desmopressin acetate. Measure serum sodium within 7 days and approximately 1 month after initiating therapy, and periodically during treatment. More frequently monitor serum sodium in patients 65 years of age and older and in patients at increased risk of hyponatremia [see Dosage and Administration (2.1) and Warnings and Precautions (5.1) ]. If hyponatremia occurs, desmopressin acetate may need to be temporarily or permanently discontinued [see Warnings and Precautions (5.1) ]. WARNING: HYPONATREMIA See full prescribing information for complete boxed warning. Desmopressin acetate can cause hyponatremia, which may be life-threatening if severe. ( 5.1 ) Desmopressin acetate is contraindicated in patients at increased risk of severe hyponatremia, such as patients with excessive fluid intake, illnesses that can cause fluid or electrolyte imbalances, and in those using loop diuretics or systemic or inhaled glucocorticoids. ( 4 , 5.1 ) Ensure serum sodium concentration is normal before starting or resuming desmopressin acetate. Measure serum sodium within 1 week and approximately 1 month after starting therapy and periodically during treatment. More frequently monitor serum sodium in patients 65 years of age and older and in patients at increased risk of hyponatremia. ( 2.1 , 5.1 ) If hyponatremia occurs, interrupt or discontinue desmopressin acetate. ( 5.1 )"
ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM,No,No Boxed Warning
Atorvastatin calcium,ATORVASTATIN CALCIUM,No,No Boxed Warning
Metoprolol Tartrate,METOPROLOL TARTRATE,No,No Boxed Warning
Metoprolol succinate,METOPROLOL SUCCINATE,No,No Boxed Warning
Phentermine Hydrochloride,PHENTERMINE HYDROCHLORIDE,No,No Boxed Warning
Fenofibrate,FENOFIBRATE,No,No Boxed Warning
Glipizide,GLIPIZIDE,No,No Boxed Warning
METFORMIN HYDROCHLORIDE,METFORMIN HYDROCHLORIDE,Yes,"WARNING: LACTIC ACIDOSIS Postmarketing cases of metformin-associated lactic acidosis have resulted in death, hypothermia, hypotension, and resistant bradyarrhythmias. The onset of metformin­ associated lactic acidosis is often subtle, accompanied only by nonspecific symptoms such as malaise, myalgias, respiratory distress, somnolence, and abdominal pain. Metformin­ associated lactic acidosis was characterized by elevated blood lactate levels (>5 mmol/Liter), anion gap acidosis (without evidence of ketonuria or ketonemia), an increased lactate/pyruvate ratio; and metformin plasma levels generally >5 mcg/mL [ see Warnings and Precautions ( 5.1 ) ]. Risk factors for metformin-associated lactic acidosis include renal impairment, concomitant use of certain drugs (e.g. carbonic anhydrase inhibitors such as topiramate), age 65 years old or greater, having a radiological study with contrast, surgery and other procedures, hypoxic states (e.g., acute congestive heart failure), excessive alcohol intake, and hepatic impairment. Steps to reduce the risk of and manage metformin-associated lactic acidosis in these high risk groups are provided [ see Dosage and Administration ( 2.3 ), (2.7), Contraindications ( 4 ), Warnings and Precautions ( 5.1 ) ]. If metformin-associated lactic acidosis is suspected, immediately discontinue metformin hydrochloride tablets and institute general supportive measures in a hospital setting. Prompt hemodialysis is recommended [ see Warnings and Precautions ( 5.1 ) ]. WARNING: LACTIC ACIDOSIS See full prescribing information for complete boxed warning. Postmarketing cases of metformin-associated lactic acidosis have resulted in death, hypothermia, hypotension, and resistant bradyarrhythmias. Symptoms included malaise, myalgias, respiratory distress, somnolence, and abdominal pain. Laboratory abnormalities included elevated blood lactate levels, anion gap acidosis, increased lactate/pyruvate ratio; and metformin plasma levels generally >5 mcg/mL. ( 5.1 ) Risk factors include renal impairment, concomitant use of certain drugs, age >65 years old, radiological studies with contrast, surgery and other procedures, hypoxic states, excessive alcohol intake, and hepatic impairment. Steps to reduce the risk of and manage metformin­-associated lactic acidosis in these high risk groups are provided in the Full Prescribing Information. ( 5.1 ) If lactic acidosis is suspected, discontinue metformin hydrochloride tablets and institute general supportive measures in a hospital setting. Prompt hemodialysis is recommended. ( 5.1 )"
LISINOPRIL,LISINOPRIL,Yes,"WARNING: FETAL TOXICITY • When pregnancy is detected, discontinue lisinopril as soon as possible [see Warnings and Precautions (5.1) ]. • Drugs that act directly on the renin-angiotensin system can cause injury and death to the developing fetus [see Warnings and Precautions (5.1) ]. WARNING: FETAL TOXICITY See full prescribing information for complete boxed warning. • When pregnancy is detected, discontinue lisinopril as soon as possible. (5.1) • Drugs that act directly on the renin-angiotensin system can cause injury and death to the developing fetus. (5.1)"
Glimepiride,GLIMEPIRIDE,No,No Boxed Warning
SPIRONOLACTONE,SPIRONOLACTONE,No,No Boxed Warning
Metformin Hydrochloride,METFORMIN HYDROCHLORIDE,Yes,"BOXED WARNING WARNING: LACTIC ACIDOSIS Postmarketing cases of metformin-associated lactic acidosis have resulted in death, hypothermia, hypotension, and resistant bradyarrhythmias. The onset of metformin associated lactic acidosis is often subtle, accompanied only by nonspecific symptoms such as malaise, myalgias, respiratory distress, somnolence, and abdominal pain. Metformin associated lactic acidosis was characterized by elevated blood lactate levels (>5 mmol/Liter), anion gap acidosis (without evidence of ketonuria or ketonemia), an increased lactate/pyruvate ratio; and metformin plasma levels generally >5 mcg/mL [see Warnings and Precautions ( 5.1 ) ]. Risk factors for metformin-associated lactic acidosis include renal impairment, concomitant use of certain drugs (e.g. carbonic anhydrase inhibitors such as topiramate), age 65 years old or greater, having a radiological study with contrast, surgery and other procedures, hypoxic states (e.g., acute congestive heart failure), excessive alcohol intake, and hepatic impairment. Steps to reduce the risk of and manage metformin-associated lactic acidosis in these high risk groups are provided [see Dosage and Administration ( 2.3 ), Contraindications ( 4 ), Warnings and Precautions ( 5.1 ) ]. If metformin-associated lactic acidosis is suspected, immediately discontinue metformin hydrochloride extended-release tablets and institute general supportive measures in a hospital setting. Prompt hemodialysis is recommended [see Warnings and Precautions ( 5.1 ) ]. WARNING: LACTIC ACIDOSIS See full prescribing information for complete boxed warning. Postmarketing cases of metformin-associated lactic acidosis have resulted in death, hypothermia, hypotension, and resistant bradyarrhythmias. Symptoms included malaise, myalgias, respiratory distress, somnolence, and abdominal pain. Laboratory abnormalities included elevated blood lactate levels, anion gap acidosis, increased lactate/pyruvate ratio; and metformin plasma levels generally >5 mcg/mL. ( 5.1 ) Risk factors include renal impairment, concomitant use of certain drugs, age >65 years old, radiological studies with contrast, surgery and other procedures, hypoxic states, excessive alcohol intake, and hepatic impairment. Steps to reduce the risk of and manage metformin associated lactic acidosis in these high risk groups are provided in the Full Prescribing Information. ( 5.1 ) If lactic acidosis is suspected, discontinue metformin hydrochloride extended-release tablets and institute general supportive measures in a hospital setting. Prompt hemodialysis is recommended. ( 5.1 )"
Omega-3-Acid Ethyl Esters,OMEGA-3-ACID ETHYL ESTERS,No,No Boxed Warning
METFORMIN HYDROCHLORIDE,METFORMIN HYDROCHLORIDE,Yes,"WARNING: LACTIC ACIDOSIS WARNING: LACTIC ACIDOSIS See full prescribing information for complete boxed warning Postmarketing cases of metformin-associated lactic acidosis have resulted in death, hypothermia, hypotension, and resistant bradyarrhythmias. Symptoms included malaise, myalgias, respiratory distress, somnolence, and abdominal pain. Laboratory abnormalities included elevated blood lactate levels, anion gap acidosis, increased lactate/pyruvate ratio; and metformin plasma levels generally >5 mcg/mL. ( 5.1 ) Risk factors include renal impairment, concomitant use of certain drugs, age ≥ 65 years old, radiological studies with contrast, surgery and other procedures, hypoxic states, excessive alcohol intake, and hepatic impairment. Steps to reduce the risk of and manage metformin-associated lactic acidosis in these high risk groups are provided in the Full Prescribing Information. ( 5.1 ) If lactic acidosis is suspected, discontinue metformin hydrochloride extended-release tablet and institute general supportive measures in a hospital setting. Prompt hemodialysis is recommended. ( 5.1 ) Postmarketing cases of metformin-associated lactic acidosis have resulted in death, hypothermia, hypotension, and resistant bradyarrhythmias. The onset of metformin-associated lactic acidosis is often subtle, accompanied only by nonspecific symptoms such as malaise, myalgias, respiratory distress, somnolence, and abdominal pain. Metformin-associated lactic acidosis was characterized by elevated blood lactate levels (> 5 mmol/Liter), anion gap acidosis (without evidence of ketonuria or ketonemia), an increased lactate/pyruvate ratio, and metformin plasma levels generally >5 mcg/mL [ see WARNINGS AND PRECAUTIONS ( 5.1 ) ]. Risk factors for metformin-associated lactic acidosis include renal impairment, concomitant use of certain drugs (e.g., carbonic anhydrase inhibitors such as topiramate), age 65 years old or greater, having a radiological study with contrast, surgery and other procedures, hypoxic states (e.g., acute congestive heart failure), excessive alcohol intake, and hepatic impairment. Steps to reduce the risk of and manage metformin-associated lactic acidosis in these high risk groups are provided in the full prescribing information [ see DOSAGE AND ADMINISTRATION ( 2.2 ) , CONTRAINDICATIONS ( 4 ), WARNINGS AND PRECAUTIONS ( 5.1 ), and DRUG INTERACTIONS ( 7 )]. If metformin-associated lactic acidosis is suspected, immediately discontinue metformin hydrochloride extended-release tablet and institute general supportive measures in a hospital setting. Prompt hemodialysis is recommended [see WARNINGS AND PRECAUTIONS ( 5.1 )] ."
simvastatin,SIMVASTATIN,No,No Boxed Warning
SPIRONOLACTONE,SPIRONOLACTONE,No,No Boxed Warning
Ticagrelor,TICAGRELOR,Yes,"WARNING: BLEEDING RISK • Ticagrelor, like other antiplatelet agents, can cause significant, sometimes fatal bleeding ( 5.1 , 6.1 ). • Do not use ticagrelor tablets in patients with active pathological bleeding or a history of intracranial hemorrhage (4.1 , 4.2 ). •Do not start ticagrelor tablets in patients undergoing urgent coronary artery bypass graft surgery (CABG) ( 5.1 , 6.1 ). • If possible, manage bleeding without discontinuing ticagrelor tablets. Stopping ticagrelor tablets increases the risk of subsequent cardiovascular events ( 5.2 ). WARNING: BLEEDING RISK See full prescribing information for complete boxed warning. • Ticagrelor, like other antiplatelet agents, can cause significant, sometimes fatal bleeding. ( 5.1 , 6.1 ) • Do not use ticagrelor tablets in patients with active pathological bleeding or a history of intracranial hemorrhage. ( 4.1 , 4.2 ) • Do not start ticagrelor tablets in patients undergoing urgent coronary artery bypass graft surgery(CABG). ( 5.1 , 6.1 ) • If possible, manage bleeding without discontinuing ticagrelor tablets. Stopping ticagrelor tablets increases the risk of subsequent cardiovascular events. ( 5.2 )"
Metoprolol Succinate,METOPROLOL SUCCINATE ER TABLETS,No,No Boxed Warning
Atorvastatin Calcium,ATORVASTATIN CALCIUM,No,No Boxed Warning
Fenofibrate,FENOFIBRATE,No,No Boxed Warning
Phentermine Hydrochloride,PHENTERMINE HYDROCHLORIDE,No,No Boxed Warning
NEBIVOLOL,NEBIVOLOL,No,No Boxed Warning
ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM,No,No Boxed Warning
Atorvastatin Calcium,ATORVASTATIN CALCIUM,No,No Boxed Warning
Felopdipine,FELODIPINE,No,No Boxed Warning
Phentermine hydrochloride,PHENTERMINE HYDROCHLORIDE,No,No Boxed Warning
Cholestyramine,CHOLESTYRAMINE,No,No Boxed Warning
METFORMIN HYDROCHLORIDE,METFORMIN HYDROCHLORIDE,Yes,"WARNING: LACTIC ACIDOSIS Postmarketing cases of metformin-associated lactic acidosis have resulted in death, hypothermia, hypotension, and resistant bradyarrhythmias. The onset of metformin-associated lactic acidosis is often subtle, accompanied only by nonspecific symptoms such as malaise, myalgias, respiratory distress, somnolence, and abdominal pain. Metformin-associated lactic acidosis was characterized by elevated blood lactate levels (>5 mmol/Liter), anion gap acidosis (without evidence of ketonuria or ketonemia), an increased lactate/pyruvate ratio, and metformin plasma levels generally >5 mcg/mL [see Warnings and Precautions (5.1) ] . Risk factors for metformin-associated lactic acidosis include renal impairment, concomitant use of certain drugs (e.g., carbonic anhydrase inhibitors such as topiramate), age 65 years old or greater, having a radiological study with contrast, surgery and other procedures, hypoxic states (e.g., acute congestive heart failure), excessive alcohol intake, and hepatic impairment. Steps to reduce the risk of and manage metformin-associated lactic acidosis in these high risk groups are provided in the full prescribing information [see Dosage and Administration (2.2) , Contraindications (4) , Warnings and Precautions (5.1) , and Drug Interactions (7) ]. If metformin-associated lactic acidosis is suspected, immediately discontinue metformin hydrochloride extended-release tablets and institute general supportive measures in a hospital setting. Prompt hemodialysis is recommended [see Warnings and Precautions (5.1) ]. See full prescribing information for complete boxed warning. Postmarketing cases of metformin-associated lactic acidosis have resulted in death, hypothermia, hypotension, and resistant bradyarrhythmias. Symptoms included malaise, myalgias, respiratory distress, somnolence, and abdominal pain. Laboratory abnormalities included elevated blood lactate levels, anion gap acidosis, increased lactate/pyruvate ratio; and metformin plasma levels generally >5 mcg/mL. ( 5.1 ) Risk factors include renal impairment, concomitant use of certain drugs, age ≥ 65 years old, radiological studies with contrast, surgery and other procedures, hypoxic states, excessive alcohol intake, and hepatic impairment. Steps to reduce the risk of and manage metformin-associated lactic acidosis in these high risk groups are provided in the Full Prescribing Information. ( 5.1 ) If lactic acidosis is suspected, discontinue metformin hydrochloride extended-release tablets and institute general supportive measures in a hospital setting. Prompt hemodialysis is recommended. ( 5.1 )"
LISINOPRIL,LISINOPRIL,Yes,"WARNING: FETAL TOXICITY When pregnancy is detected, discontinue lisinopril as soon as possible [see Warnings and Precautions (5.1) ]. Drugs that act directly on the renin-angiotensin system can cause injury and death to the developing fetus [see Warnings and Precautions (5.1) ]. WARNING: FETAL TOXICITY See full prescribing information for complete boxed warning. When pregnancy is detected, discontinue lisinopril as soon as possible. (5.1) Drugs that act directly on the renin-angiotensin system can cause injury and death to the developing fetus. (5.1)"
Antara,FENOFIBRATE,No,No Boxed Warning
ADMELOG,INSULIN LISPRO,No,No Boxed Warning
Prazosin HCL,PRAZOSIN HCL,No,No Boxed Warning
Valsartan,VALSARTAN,Yes,"WARNING: FETAL TOXICITY When pregnancy is detected, discontinue Valsartan Oral Solution as soon as possible. (5.1) Drugs that act directly on the renin-angiotensin system can cause injury and death to the developing fetus. (5.1) WARNING: FETAL TOXICITY See full prescribing information for complete boxed warning. When pregnancy is detected, discontinue Valsartan Oral Solution as soon as possible. (5.1) Drugs that act directly on the renin-angiotensin system can cause injury and death to the developing fetus. (5.1)"
Desmopressin Acetate,DESMOPRESSIN ACETATE,Yes,"WARNING: HYPONATREMIA Desmopressin acetate can cause hyponatremia. Severe hyponatremia can be life-threatening, leading to seizures, coma, respiratory arrest, or death [see Warnings and Precautions (5.1) ]. Desmopressin acetate is contraindicated in patients at increased risk of severe hyponatremia, such as patients with excessive fluid intake, illnesses that can cause fluid or electrolyte imbalances, and in those using loop diuretics or systemic or inhaled glucocorticoids [see Contraindications (4) and Warnings and Precautions (5.1) ]. Ensure the serum sodium concentration is normal before starting or resuming desmopressin acetate. Measure serum sodium within 7 days and approximately 1 month after initiating therapy, and periodically during treatment. More frequently monitor serum sodium in patients 65 years of age and older and in patients at increased risk of hyponatremia [see Dosage and Administration (2.1) and Warnings and Precautions (5.1) ]. If hyponatremia occurs, desmopressin acetate may need to be temporarily or permanently discontinued [see Warnings and Precautions (5.1) ]. WARNING: HYPONATREMIA See full prescribing information for complete boxed warning. Desmopressin acetate can cause hyponatremia, which may be life-threatening if severe. ( 5.1 ) Desmopressin acetate is contraindicated in patients at increased risk of severe hyponatremia, such as patients with excessive fluid intake, illnesses that can cause fluid or electrolyte imbalances, and in those using loop diuretics or systemic or inhaled glucocorticoids. ( 4 , 5.1 ) Ensure serum sodium concentration is normal before starting or resuming desmopressin acetate. Measure serum sodium within 1 week and approximately 1 month after starting therapy and periodically during treatment. More frequently monitor serum sodium in patients 65 years of age and older and in patients at increased risk of hyponatremia. ( 2.1 , 5.1 ) If hyponatremia occurs, interrupt or discontinue desmopressin acetate. ( 5.1 )"
Metformin Hydrochloride,METFORMIN HYDROCHLORIDE,Yes,"WARNING: LACTIC ACIDOSIS Postmarketing cases of metformin-associated lactic acidosis have resulted in death, hypothermia, hypotension, and resistant bradyarrhythmias. The onset of metformin-associated lactic acidosis is often subtle, accompanied only by nonspecific symptoms such as malaise, myalgias, respiratory distress, somnolence, and abdominal pain. Metformin-associated lactic acidosis was characterized by elevated blood lactate levels (>5 mmol/Liter), anion gap acidosis (without evidence of ketonuria or ketonemia), an increased lactate/pyruvate ratio; and metformin plasma levels generally >5 mcg/mL [see Warnings and Precautions (5.1) ]. Risk factors for metformin-associated lactic acidosis include renal impairment, concomitant use of certain drugs (e.g. carbonic anhydrase inhibitors such as topiramate), age 65 years old or greater, having a radiological study with contrast, surgery and other procedures, hypoxic states (e.g., acute congestive heart failure), excessive alcohol intake, and hepatic impairment. Steps to reduce the risk of and manage metformin-associated lactic acidosis in these high risk groups are provided (see Dosage and Administration (2.3) , Contraindications (4) , Warnings and Precautions (5.1) ]. If metformin-associated lactic acidosis is suspected, immediately discontinue metformin and institute general supportive measures in a hospital setting. Prompt hemodialysis is recommended [see Warnings and Precautions (5.1) ]. WARNING: LACTIC ACIDOSIS See full prescribing information for complete boxed warning. Postmarketing cases of metformin-associated lactic acidosis have resulted in death, hypothermia, hypotension, and resistant bradyarrhythmias. Symptoms included malaise, myalgias, respiratory distress, somnolence, and abdominal pain. Laboratory abnormalities included elevated blood lactate levels, anion gap acidosis, increased lactate/pyruvate ratio; and metformin plasma levels generally >5 mcg/mL.( 5.1 ) Risk factors include renal impairment, concomitant use of certain drugs, age >65 years old, radiological studies with contrast, surgery and other procedures, hypoxic states, excessive alcohol intake, and hepatic impairment. Steps to reduce the risk of and manage metformin associated lactic acidosis in these high risk groups are provided in the Full Prescribing Information. ( 5.1 ) If lactic acidosis is suspected, discontinue Metformin Hydrochloride Tablets and institute general supportive measures in a hospital setting. Prompt hemodialysis is recommended. ( 5.1 )"
AMLODIPINE BESYLATE 2.5 mg,AMLODIPINE BESYLATE,No,No Boxed Warning
amlodipine besylate and olmesartan medoxomil,AMLODIPINE BESYLATE AND OLMESARTAN MEDOXOMIL,Yes,"WARNING: FETAL TOXICITY When pregnancy is detected, discontinue amlodipine besylate and olmesartan medoxomil as soon as possible ( 5.1 , 8.1 ). Drugs that act directly on the renin-angiotensin system (RAS) can cause injury and death to the developing fetus ( 5.1 , 8.1 ). WARNING: FETAL TOXICITY See full prescribing information for complete boxed warning. When pregnancy is detected, discontinue amlodipine besylate and olmesartan medoxomil as soon as possible ( 5.1 , 8.1 ). Drugs that act directly on the renin-angiotensin system can cause injury and death to the developing fetus ( 5.1 , 8.1 )."
Amlodipine and Atorvastatin,AMLODIPINE AND ATORVASTATIN,No,No Boxed Warning
NOVOLOG,INSULIN ASPART,No,No Boxed Warning
captopril,CAPTOPRIL,Yes,"WARNING: FETAL TOXICITY When pregnancy is detected, discontinue captopril tablets as soon as possible. Drugs that act directly on the renin-angiotensin system can cause injury and death to the developing fetus. See WARNINGS: Fetal Toxicity"
OLMESARTAN MEDOXOMIL and HYDROCHLOROTHIAZIDE,OLMESARTAN MEDOXOMIL AND HYDROCHLOROTHIAZIDE,Yes,"WARNING: FETAL TOXICITY • When pregnancy is detected, discontinue olmesartan medoxomil and hydrochlorothiazide tablets as soon as possible [see Warnings and Precautions ( 5.1 )] . • Drugs that act directly on the renin-angiotensin system can cause injury and death to the developing fetus [see Warnings and Precautions ( 5.1 )] . WARNING: FETAL TOXICITY See full prescribing information for complete boxed warning. • When pregnancy is detected, discontinue olmesartan medoxomil and hydrochlorothiazide tablets as soon as possible ( 5.1 ). • Drugs that act directly on the renin-angiotensin system can cause injury and death to the developing fetus ( 5.1 )."
Atorvastatin calcium,ATORVASTATIN CALCIUM,No,No Boxed Warning
Metformin HCl,METFORMIN HCL,No,No Boxed Warning
Glipizide and Metformin Hydrochloride,GLIPIZIDE AND METFORMIN HYDROCHLORIDE,Yes,"Lactic Acidosis Postmarketing cases of metformin-associated lactic acidosis have resulted in death, hypothermia, hypotension, and resistant bradyarrhythmias. The onset of metformin-associated lactic acidosis is often subtle, accompanied only by nonspecific symptoms such as malaise, myalgias, respiratory distress, somnolence, and abdominal pain. Metformin-associated lactic acidosis was characterized by elevated blood lactate levels (> 5 mmol/Liter), anion gap acidosis (without evidence of ketonuria or ketonemia), an increased lactate/pyruvate ratio; and metformin plasma levels generally > 5 mcg/mL [see PRECAUTIONS]. Risk factors for metformin-associated lactic acidosis include renal impairment, concomitant use of certain drugs (e.g., carbonic anhydrase inhibitors such as topiramate), age 65 years old or greater, having a radiological study with contrast, surgery and other procedures, hypoxic states (e.g., acute congestive heart failure), excessive alcohol intake, and hepatic impairment. Steps to reduce the risk of and manage metformin-associated lactic acidosis in these high risk groups are provided [see PRECAUTIONS]. If metformin-associated lactic acidosis is suspected, immediately discontinue glipizide and metformin hydrochloride tablets and institute general supportive measures in a hospital setting. Prompt hemodialysis is recommended [see PRECAUTIONS]."
Torsemide,TORSEMIDE,No,No Boxed Warning
Amlodipine and Atorvastatin,AMLODIPINE AND ATORVASTATIN,No,No Boxed Warning
Metformin Hydrochloride,METFORMIN HYDROCHLORIDE,Yes,"BOXED WARNING WARNING: LACTIC ACIDOSIS Postmarketing cases of metformin-associated lactic acidosis have resulted in death, hypothermia, hypotension, and resistant bradyarrhythmias. The onset of metformin- associated lactic acidosis is often subtle, accompanied only by nonspecific symptoms such as malaise, myalgias, respiratory distress, somnolence, and abdominal pain. Metformin- associated lactic acidosis was characterized by elevated blood lactate levels (>5 mmol/Liter), anion gap acidosis (without evidence of ketonuria or ketonemia), an increased lactate/pyruvate ratio; and metformin plasma levels generally >5 mcg/mL [ see Warnings and Precautions ( 5.1 ) ]. Risk factors for metformin-associated lactic acidosis include renal impairment, concomitant use of certain drugs (e.g. carbonic anhydrase inhibitors such as topiramate), age 65 years old or greater, having a radiological study with contrast, surgery and other procedures, hypoxic states (e.g., acute congestive heart failure), excessive alcohol intake, and hepatic impairment. Steps to reduce the risk of and manage metformin-associated lactic acidosis in these high risk groups are provided [ see Dosage and Administration ( 2.2 ), Contraindications ( 4 ), Warnings and Precautions ( 5.1 ) ]. If metformin-associated lactic acidosis is suspected, immediately discontinue metformin hydrochloride extended-release tablets and institute general supportive measures in a hospital setting. Prompt hemodialysis is recommended [ see Warnings and Precautions ( 5.1 ) ]. WARNING: LACTIC ACIDOSIS See full prescribing information for complete boxed warning. • Postmarketing cases of metformin-associated lactic acidosis have resulted in death, hypothermia, hypotension, and resistant bradyarrhythmias. Symptoms included malaise, myalgias, respiratory distress, somnolence, and abdominal pain. Laboratory abnormalities included elevated blood lactate levels, anion gap acidosis, increased lactate/pyruvate ratio; and metformin plasma levels generally >5 mcg/mL. ( 5.1 ) • Risk factors include renal impairment, concomitant use of certain drugs, age >65 years old, radiological studies with contrast, surgery and other procedures, hypoxic states, excessive alcohol intake, and hepatic impairment. Steps to reduce the risk of and manage metformin- associated lactic acidosis in these high risk groups are provided in the Full Prescribing Information. ( 5.1 ) • If lactic acidosis is suspected, discontinue metformin hydrochloride extended-release tablets and institute general supportive measures in a hospital setting. Prompt hemodialysis is recommended. ( 5.1 )"
Olmesartan Medoxomil,OLMESARTAN MEDOXOMIL,Yes,"WARNING: FETAL TOXICITY When pregnancy is detected, discontinue olmesartan medoxomil tablets as soon as possible ( 5.1 , 8.1 ) Drugs that act directly on the renin-angiotensin system can cause injury and death to the developing fetus ( 5.1 , 8.1 ) WARNING: FETAL TOXICITY See full prescribing information for complete boxed warning. When pregnancy is detected, discontinue olmesartan medoxomil tablets as soon as possible ( 5.1 , 8.1 ). Drugs that act directly on the renin-angiotensin system can cause injury and death to the developing fetus ( 5.1 , 8.1 )."
SIMVASTATIN,SIMVASTATIN,No,No Boxed Warning
